1.500000000000000000e+02,5.000000000000000278e-02,7.000000000000000000e+01,6.400000000000000133e-01
1.500000000000000000e+02,1.000000000000000056e-01,7.000000000000000000e+01,6.400000000000000133e-01
1.500000000000000000e+02,2.000000000000000111e-01,7.000000000000000000e+01,6.400000000000000133e-01
1.500000000000000000e+02,2.999999999999999889e-01,7.000000000000000000e+01,6.400000000000000133e-01
1.000000000000000000e+02,5.000000000000000278e-02,7.000000000000000000e+01,6.400000000000000133e-01
1.000000000000000000e+02,1.000000000000000056e-01,7.000000000000000000e+01,6.400000000000000133e-01
1.000000000000000000e+02,2.000000000000000111e-01,7.000000000000000000e+01,6.400000000000000133e-01
1.000000000000000000e+02,2.999999999999999889e-01,7.000000000000000000e+01,6.400000000000000133e-01
5.000000000000000000e+01,5.000000000000000278e-02,7.000000000000000000e+01,6.400000000000000133e-01
5.000000000000000000e+01,1.000000000000000056e-01,7.000000000000000000e+01,6.400000000000000133e-01
5.000000000000000000e+01,2.000000000000000111e-01,7.000000000000000000e+01,6.400000000000000133e-01
5.000000000000000000e+01,2.999999999999999889e-01,7.000000000000000000e+01,6.400000000000000133e-01
